"Story","Title","Result","Date","Stability","Duration (s)"
"Test the Partener list and agent List","Check if the partner profile data can be fetched by user","SUCCESS","2022-06-29T15:57:06.209+05:30","0.0","12.23"
"Test the Partener list and agent List","Check if the partners list can be fetched by user","SUCCESS","2022-06-29T15:56:29.673+05:30","0.0","35.13"
